svc_sentiment,text
positive,They have worked out so far
positive,This tablet is awesome!!!<br />I bought it last Christmas for my wife and she loves it..<br />the picture quality and sound is amazing... You can't beat it...
positive,WAY faster than my previous Kindle! Love it.
positive,Excellent device.
positive,Love it!
positive,it meets all my expectations
positive,great price
positive,Love it!
positive,I love it! So glad I bought this.
positive,It was as advertised but I had to get a 2nd Fire because the camera did not operate. However<br />the Help provided by Amazon performed very well and when the camera could not be fixed they F
positive,Well worth the price. .
positive,Much better than my old (gen 1) Kindle Fire. Very happy so far.
positive,Left my original FireHD in plane last Sept.  Order second one and love it.
positive,It was everything expected.  My 11 year old loves and I love the the parental controls.  We chose Kindle Fire just for that purpose.  As a parent I love that it can just be reader and then ap
negative,I turned it on and it told me I  had to restore it. I just got it and it telling me to restore it? I brought other Kindles from Amazon and never had to restore it as soon as I turned it on fo
positive,Awesome device
positive,Took a little long.
positive,Very good quality. Sound is amazing.
positive,iPad who?  I love my Fire!
positive,I like the weight and size of the tablet. I don't like how if you barely move it it rolls to the horizontal or vertical size and you lose your focus. I also have an old tablet that is slow in
positive,I love it. Can't wait to build my library and enjoy reading again.
positive,Moved up from Kindle Fire. Works so much better!!
positive,I love it!  It's exactly what I expected and needed.
positive,I love the size and the clarity of the screen
positive,Still a novice on this product so I don't feel right commenting other than the book I read was easy to read.
positive,I absolutely luve this HD 7&#34; .. I got it on sale and it is worth every penny! Guys but his item!
positive,I love my Kindle Fire HD 7.  I use it mainly for watching videos.  The display and sound are great.
positive,Very happy with the new fire had.
positive,I just love it.
positive,The HD 7 kindle arrived on time and in good shape.  The HD kindle fire has a noticeable better quality picture than the regular kindle.
positive,Love the speed and crispness or the hd screen
negative,It is much heavier to hold than other tablets its size. It freezes and malfunctions at least once a day or more. I also didn't realize when it said it comes with &#34;special offers&#34; that
negative,It has limitations.  Apps do not work very well.
positive,I'm Pleased with this purchase so far. The battery seems to go quickly but not sure if it's due to many things running or not. Also only one speaker on this items works when music is on not s
positive,Great device!
positive,Love my Fire HD 7!!
negative,On off button more difficult to use.
positive,i love the brightness of the fire
positive,Great value for the one day discounted price.
positive,Best bang for the buck . Love how user friendly the fire tablet is and the quality of its parts
positive,I love mine
negative,Screen turns off ALL the time for no reason.  No way to fix it.
positive,Love it
negative,I would like to return the whole thing
positive,It's really good. Me and two of my kids have one. The parental settings are great. And I just watched a movie. Im so impressed with the quality of it. Sounded and looked great. The kindle is 
positive,Love it!!!
positive,Enjoying it very much!
positive,Does everything I need in a compact size.
positive,Super buy!
positive,This is the fourth Kindle I've purchased for the family. I've been using a third generation Kindle e-reader and a Kindle fire for more than 3 years. I receive my daily newspaper subscription 
negative,Do not like where the plug-in and on off button is located....right where the cover straps are.
positive,We were sad that we couldn't replace my husbands last Fire 7 that he had...  But given that he loves this one even more...
positive,This is my first tablet is very user-friendly . It performs tasks fast . I am very happy with it.
positive,I like the new Kindle hd 7......but I absolutely hate the cases! I simple can't find a decent case for it.
positive,Great Mother day gift.
positive,My Daughter loves it!  Especially the camera!
positive,Very satisfied.  Met all my expectations.
positive,I absolutely hate the built in pop-ups. I refused to pay the ransom to have them removed. If I had known how annoying they are I would purchased something and downloaded the kindle app.
positive,The reason I bought this tablet was because I got tired of using the small screen on my cell phone.<br />I also ssw a presentation of the tablet on one of those home shopping shows which sold
positive,A little slower than my phone for youtube video but all in all a great gadget.
positive,Love it!!!
positive,Love my kindle fire hd7<br />I can do everything on it like my  PC. But with tge convient of a light weigh compact side tablet that I can take with me anywhere...
positive,I love the Fire but am very unhappy with the short battery charge life. I use the fire for lengths at a time and find it very annoying to have to charge it so often. If there is any way to fi
positive,I am very excited about our new kindle fire HD7.  I have been wanting the kindle with rear camera for some time and was more than excited when I saw it was the deal of the day.  This is the 3
positive,It's great.
positive,the fire HD 7 was well worth the money.
positive,Absolutely love the kindle but I can't take photos unless I download an app and I just don't have the extra money right now
positive,I just rec'd my Kindle and I am having a lot of fun with it.  I got it on a whim and it has met all my expectations.  Thank you.
positive,Love the color. And the easy of use.
positive,Our son loves it!!
positive,Love it!
positive,Arrived right on time and is a great item to have.
positive,So far I do like it but I'm still trying to figure it out.  The on line device support hasn't been a lot help.
positive,I Like it very much.
positive,great tablet
positive,Love it
positive,The Fire HD 7 is a LOT of BANG for your buck.  I love it.
positive,Very pleased with the quick delivery and the upgrades from my Kindle Fire. I'm having fun learning to navigate with the changes.<br />Thank you!
positive,Wow! Very nice! I purchased this to go with my new Amazon Fire phone. Very happy with my purchases. Super nice!
positive,I'm very pleased so far. only have had it a couple of weeks but it is certainly a good upgrade from the first generation fire which is what I had
positive,charging cord is stupid short... otherwise a nice addition to the techno pile..
positive,I. Love it!!!!!
positive,Great product great price
positive,Great afternoon read! Enjoyed fast pace. Waiting  for #4.....RDN
positive,I am new to the tablet world and so far this has been easy to learn to use and read with. Very happy with this product.
positive,Fantastic for the price I paid.  Purchased it during the 79$ sale.  I use it mainly for Web browsing and playing Hearthstone.
positive,thanks
positive,The Kindle Fire HD 7 provides a vivid display and great ease moving in and out of apps. We have had no issues with our purchase for the last few months and it is easy enough for my mother and
positive,Love it!
positive,I've had this tablet for a few months. I like it a lot. This is a brand that I trust. The price just made it even better.
positive,I love it. Thank you
positive,I love my kindle fire hd 7!
positive,excellant unit
negative,Still trying to learn it but its seems to ok<br />Having issue loading book which were purchased through Amazon but will figure it out
positive,Great product. I just wish I had purchased one with more storage space.
positive,Love this little tablet!
positive,The camera is good! I like that you can choose the color of your kindle as well. I have the 3rd generation kindle  and I love this new kindle!!
positive,I love that I can access every site I want and see it fully. Just like a laptop.
negative,I can not get the Fire HD 7 to connect with my internet.  Need more information with the product when you get it.  Whatever happened to instruction books?
negative,Was not informed of a 3 month warranty when your defective device is replaced with a new one. Now I'm being offered a refurbished one with 20 dollars off of that. The replaced one is not even
positive,love my kindle fire. My husband is reading &#34;Lonesome Dove&#34; and I finished one book and am on my second one.<br />The cover that I ordered won't fit but the &#34;Fire&#34; is wonderful
positive,This is the first Kindle I have owned.  It was very easy to navigate and start using.  I am very pleased with it!
negative,I would give it negative stars if I could.  I  bought it to play Minion Rush only to find out it's &#34;incompatible&#34; with the Fire HD 7. Waste of money!
negative,I find it hard to navigate.  My Kindle Fire is so much easier to use.
positive,My only complaint is that there is a really bad glare on the screen. If I am trying to watch a movie anywhere but a completely dark room it is impossible to see when the movie goes to an unli
positive,Love it!!
positive,I thought I wanted a tablet with a larger screen but I am quite pleased with the Fire HD 7.  So glad I didn't spend all that money on an iPad!  This tablet is perfect for me.
positive,I just love the Fire HD 7.  So far it has been easy to use.
positive,picture is extremely clear
positive,the cord should be longer otherwise I am happy with it.
positive,I love my new Kindle Fire and the freetime app and firefly app.
positive,Excellent!!!!!
positive,It's hard for me to adjust to this being I have always owned apple products. It has been a challenge to learn how to work  a Fire HD. I'm unsure if I would ever purchase another one. Maybe it
positive,I love this
positive,love it!
positive,We love it :-)
positive,Great sale price... For my kitchen
positive,Love it
positive,Excellent tablet!
positive,just what I ordered and expected the Kindle to be
positive,Bought this for my 6 year old. She loves it.
positive,This is our first device like this and so far my daughter loves it. User friendly and great parental control as well. Definitely do not regret the purchase. Great price as well
negative,can not read books that i purchased on device and on desktop
positive,I've had all the kindles.  They are all great in their own way. Especially love the speakers and picture quality of the fire!  Have been an Amazon prime member for a long time and the deals h
positive,Very nice!
positive,Love my Kindle Fire!
negative,It would be nice if the ads were not there.
positive,I really like it.
positive,Great!
negative,Seems a little slower than the 6&#34; fire but otherwise I love it  Update...I DO NOT LOVE IT! It keeps giving dhcp error and won't stay connected. Want to get it replaced/fixed but will not 
positive,This is my second kindle...I love it
positive,Love it!!!  I purchased it for my eight year old and I use it too!  Very easy to use!
positive,Great
positive,Great!
positive,Nice
positive,Its great for the whole family
positive,Kids Love it!
positive,love the new one. Has more on it then the old/
positive,Very easy to use.  Really liked it.
positive,I'm enjoying this kindle as much as I enjoy my original kindle 2.
positive,I would buy this again . It is so much better than what is said about it .
negative,If I knew it had advertisements I would not have bought it.  Annoying.  Preferred the format of the old Kindle Fire better.
negative,This is the worst device ive ever used. it is useless.
positive,this is my second Kindle and really enjoyed the first one.  I expect this one to be also.
positive,love it
positive,Love it! So easy to use. I plan on using it as my laptop while traveling.
positive,The screen and ease of use are great. Just needs to be bigger.
positive,Very nice.  Easy to use and carry
positive,I now have no need of a husband OR a cat....Love it!!!!
positive,Much thinner and lighter than previous generations. Bright screen. Fast.
positive,This is the best upgrade yet!  I have had all three Fire's - have to say this is my favorite one yet.  I would definitely recommend this purchase.
positive,I love it. The promos are great on books. I love being able to use it for everything vs. Just reading.
positive,Got unit on sale and saved a bunch.  It worked great right out of the box and is a great little gadget for games and web browsing.
negative,Not what we expected.
positive,I love my fire never getting rid of it
positive,I love my tablet! It's only been two weeks but it meets my needs. I learn of a new function everyday. The only thing I don't like is local retailers do not carry many needed accessories.
positive,Really liking this tablet. Would recommend to anyone.
positive,I LOVE this device!! Colors are clear; print is easy on the eyes; games explode !!! This was Mother's Day to me!!!
positive,Very happy with this purchase.  I'm still learning how to use it so far no issues
positive,I love it
positive,Love it. Awesome little device.
positive,great tablet and a great price!
positive,I love it!!!
positive,Great tablet. Only complaint is that it doesn't display the battery charge status when it's recharging and shuts down
positive,I love my Fire  HD 7&#34;!!!!!
negative,Most of the movies i like r not free!<br />The same with the music.  What keep of free where advertising?
positive,Great so far
positive,love my new kindle. Like my access to good reads and also my collections ability.
positive,Love it!  Battery life is good too!
positive,This is my 4th kindle purchase. I love mine so much that I am buying them for all the gkids when bday come around
positive,It arrived on time and exceeded my expectations operationally.  It was easy to set up and get running on wireless.
positive,This small and VERY durable tablet has proven to be very convenient especially when it is combined with the Amazon Prime Cloud services.<br />Excellent Photo Display !!
positive,Works great
positive,Works great and great price.
positive,I love it!! It's a completely new way to read books! Easy interface and very useful
positive,I never use a tablet but I really like this tablet..so easy to use and I can do almost the same thing on it i as I did on my laptop
negative,Easily freezes up.
positive,Love it
negative,Meh.
positive,Kindle is amazing. This is my first fire but I have had multiple kindle readers. Customer service is amazing and the product is beyond expectations.
positive,Great job
positive,Love that it charges so quickly
negative,Broke almost immediately.
positive,I love this device!  I also have a Fire TV Stick and Fire TV box and they all serve me well!
positive,I love it! This is one of the handsets little thingamabobs that I have yet to come across.
positive,I only wish it had an SD card slot and I'd be very happy. Other than that I love my Kindle Fire!
positive,Vast improvement over my old one. Love it
positive,Love my upgrade!
positive,It's okay
positive,Feels sturdier than my old kindle fire. Hopefully this one won't break
positive,Love it!
positive,I am having a blast with my BDay gift from my mom.
negative,It's a nice tablet but I shouldn't be forced to see advertisements on something I bought. I dislike how you cannot customize the background and its ads. Please fix this and this tablet would 
positive,Well haven't explore the whole tablet yet but so far so good.
positive,I love it
positive,I love it.  I use it almost every day.
positive,Beyond my expectations!
positive,Absoletely love it and awesome price!!
negative,Too limiting/ returned
positive,Great
positive,Former Nook color user.  Like the Fire much better
positive,Love it
positive,very nice little tablet and the price was incredible when I ordered ours
positive,Daughter is very happy
positive,like it this tablet has everthing on it
positive,Love it
negative,visually very pleasing.  crisp picture.  i find the charging port annoying.  Have to fiddle with it to get it to connect.  excellent keyboard and easy to operate.
positive,Very nice upgrade from my original Kindle.
negative,Bad.  Doesn't have bookmarks.  Keeps returning to prev page when I rotate devi e.  Want to return<br />..not as good as the one I got 3 years ago.
positive,Great value for the price!
positive,The video display is clear and jumps off the screen.  Navigation is easy.
positive,I'm very pleased with this tablet.  Prefer using this over the I-Pad.
positive,very happy with it
positive,It's Amazing I love it!!!!! Me and my fianc&eacute; watch Netflix on it everything looks amazing!!!!
positive,Very very please with my Fire tablet!  Well worth the money !!!
positive,Great. Love it.
positive,This item is wonderful
positive,Does everything well and fast.
positive,I love it!!!!
positive,does all that I need
positive,Like reading at night and turn light off but I am still figuring how to enlarge the reading material.
positive,great price and first tablet . Works better than I expected
positive,I love it!!!!!
positive,Nice design and improvement over my old Kindle. The lock screen advertisement is a little painful but at least now I have a list of products and manufactures I will certainly not buy from as 
positive,I am very happy with this device. I use it more than my laptop.
positive,Loving it.
positive,Great tablet at a great price!  Have really enjoyed using it and it has been easy to set up and load apps on it.
positive,This is my fourth Kindle-I'm an addict!
positive,This was a replacement for a previous  Kindle Fire.I hope it lasts longer than my old one! I'm finding little difference between the two.  It works faster and seems to hold a charge longer.
negative,Did not meet my expectations. Volume constantly fluctuates between high and super LOW. The apps that I wanted to use on it are not available nor compatible.  Very slow to load/process. Very l
negative,The only problem was it said I didn't have enough storage to take photos.. It's 16gb! Why cant I take photos??
positive,So far I'm loving my kindle fire hd!!!! The best thing I have invested in no more waiting on my books to come in the mail or waiting on the library to get the book in stock.
negative,i hate the ads they are pissing me off
positive,Much prefer this to the Samsung galaxy Tab S
positive,Met all expectations.
positive,Upgraded from an older version to this one.  So far it is great.  Does things I couldn't do on my older one.  Great sound and pictures.
positive,Great
positive,Its awesone! The picures and sound is crystal.
positive,LOVE My TABLET.....Yaaaa
positive,This was a gift from my son.  I love it....wish it came with an owners guide.
positive,Awesome!
positive,For a first time user of amazon my expirence was excellent .  The fire HD is for my daughter it is very user friendly and the parental controls are easily set. It is a great learning tool.
positive,The price was certainly right and the Fire HD does all that is claimed. Already have a Fire so I guess I was expecting more. Probably will keep the HD and gift the older Fire. Set up is relat
positive,So far so good. Need more time to fully evaluate.
positive,More than I expected. Still learning how to use it since I am an almost Senior Citizen.  I love the &#34;pink&#34; case.
positive,Love this device. I take it everywhere with me.
positive,Awesome product
positive,can't best it for the price I got it for. Very good deal!
positive,I love having a Kindle to take with me anytime I have waiting time.
positive,love it!  I am buying another to give as a gift!
positive,Really nice!!!  I love all the features and the ease of it!
positive,Love it
positive,Still learning...
negative,I'm still trying to get some things to work.
positive,Love it!
positive,Excellent!!!!!!!!
positive,Love it. Only one little thing I have found objectionable: the on and off button doesn't work as easy as the older model kindle fire 7.
positive,Great!
positive,Love it and I would give it 5 stars only if I can access my Google play books. Just seem to not be able to do this.
positive,Absolutely Love it!
positive,so easy for an old lady to learn to use.
positive,Very fine tablet!
negative,I bought the fire 7 specifically because it has a camera.  But it has no flash so is impossible to use for taking pictures inside and at night.
negative,Have had Galaxy in the past...forever...but I'm getting used to it.
positive,Love it ... Great gift !
negative,My computer is old and crappy and my new kindle doesn't get along with it.
positive,Kindle Fire HD is great. It works much like my old Kindle so that is a plus.  I use it all the time.
positive,Picture and sound quality is great. Some APPs are free. Installed a german language APP for free. Would recommend getting the 16GB versus the 8GB model. There are  sales on Fire HD. So look f
positive,Still learning the machine. Wish it came with a manual.
negative,not bad
positive,Awesome. Fast does the job well.
positive,Love it!  Replacing my Nook tablet which was very disappointing.
negative,It's a ok tablet doesn't really blow my mind.
positive,Nice
positive,Fast good tablet but could use bigger screen and a little more customizable features.
positive,I have had my Amazon fire for  about two weeks .  I am very pleased with its performance.  It is easier for me use this tablet.  I would recommend this to everyone.
negative,This was a gift to replace my tablet that died. I would prefer another tablet but this will suffice.
positive,I like the wider area around the edges. It is lighter and faster than the previous Kindle and I like the updates and operation. Finally moved the power button! The slick finish and tapered si
negative,Its good for the price I paid. Maybe to small for what I am use to. bigger is better
positive,The Fire more than meets my expectations
positive,Great tablet own Apple iPad and iPhones very happy with the Fire hd7 . Like it so much will purchase another asap for my granddaughter.The tablet is in a class by itself. Lots of bang for you
positive,I received my Fire HD 7 3 days ago so I am still getting acquainted with it. I can see already that I am going to like it. This is my second Kindle and I am loving the new features.
positive,my first tablet... works well... I will be looking for more fire products
positive,I absolutely love it.  It is heavier than I wanted.  I purchased a Fire for my son last February and his is much lighter than this new one.  Not sending it back I like it too much!
positive,I Love it!!! 😊
positive,Sometimes it takes a minute to surf
positive,Great color.  It's everything I expect from a kindle.  Just wish the battery lasted longer
positive,Great tablet
positive,It's great
positive,Awesome
positive,Awesome
positive,As advertised
positive,i like it
positive,This is my second Kindle and I love it.  The price was great and the camera and new apps make it fun to use.  I use my kindle everyday.
positive,Arrived ahead of schedule! Already had my prime information entered upon arrival! 10/10 would purchase again.
positive,Have owned several Kindle's that I have passed down to my boys.  The best e reader out there.
negative,I really would like it if I got all the parts of the order.  I did not get the Fire HD7 power adapter. I got the US cable but no adapter. Please let me know what to do .
positive,Overall very pleased<br />Photos slow to upload.<br />Screen quality and definition are sweet
positive,work great!!!
positive,outstanding tablet for the price.  Preforms well
positive,Kids love it!
positive,It is perfect. My husband loves it.
positive,I love my Kindle. It does what I need & doesn't have the big price tag.
positive,My kids love them! Great deal for the price
positive,Wonderful little device.
positive,I am glad that I purchased this item.  It does the things that I want it to.
positive,Easy to set up and operate - love it !
negative,It's a good product.  Unfortunately I dont have wifi at home so I can't use as often as I would like.
positive,Battery life not so good
positive,Works great.
positive,Great bargain with the free shipping. My fourth Kindle.
positive,I love my fire!!! I use it predominantly to watch Amazon prime shows and movies. There are many more features available on the tablet that I haven't even used yet (like the camera). I have re
positive,Love it!
negative,Got it for my wife and she loves it. She had the first fire years ago and this is faster and better all around.
positive,Worth it
positive,I love it. I feel like I have to charge it a lot  but that might be because I use it so much. I forget to turn it off when I'm not using it.<br />It's a great tablet. Highly recommended.
positive,I have been very pleased with my fire exceeds my expectations
positive,Great tablet for the price.  Bought to replace a broken iPad my children were using.  My son is able to use all the apps from school on this tablet for a fraction of the iPad price.
positive,Very user friendly.
positive,I love my new Kindle Fire!
negative,Would be 100% better with google play or if it was rootable.
positive,I bought this for my grandson who is 8 yrs. old he loved it but I wish there had been some kind of instructions.
positive,Even better than I expected.  I don't have a PC and this is just as good!
positive,An hdmi output would make this item 5 stars in every way
positive,It's an amazing tablet and the price is amazing also.
positive,Hands down one of my best Lil gadgets so far! Simple easy to use and always handy. No need to be bored anymore because there's always something to do on my fire!
positive,Love this but I just wish it came with more instructions.  Since I am 70 yo I am having a time searching for books etc.
positive,Wonderful! Great service and product just as described! A+++
negative,No access to normal android store. I dislike that in particular. Other than that it's great.
positive,So fire so good. Resolution is great. I'd like to see a video help guide.
positive,I absolutely love it! Light easy to use and color is perfect. Good sound too.
positive,Easy to use.  Simplistic operating system with a fairly good battery life.  Excellent video and sound.
positive,Love it! Only down fall is the glare.
negative,It's OK but I thought I could do word documents and others without paying fro every application to do so.
positive,Love it!!!!
positive,My wife loves it
positive,Love my new Fire HD
positive,it is great
negative,This is the fourth Kindle we've purchased and overall it's ben a pretty decent product for apps and books to read. I'd like to use it occassionally for streaming and every one has some new gi
positive,I am very happy with my Fire HD 7.
negative,Bought a maintianace program and it wouldn't let me register the Fire HS.  Plus QVC send two so I sent one back
negative,ok.nothing to brag about.
positive,Great for me and my 3yr old!
positive,Easy to use. Good clarity. Much better than original.
positive,Loved it !
positive,This is an awesome peace of tech. Especially if you get it on sale
positive,This was a good deal with the special offer price of about $80.
positive,Awesome I got as a birthday present from my daughter it's awesome aloha Yvonne owens
negative,Can't do much with it it's more made for kids then adults
negative,Gets hot but work and I'm not paying for a used one
positive,Awesome and then some!!!!!!!!!
positive,Very great kindle fire!! Love it!!
positive,Adding a manual would have  got a fifth star.
positive,A sure deal not to be beat! I got this on sale for $79! Wonderful price for a first class tablet. Color is great and sound is crystal clear. Not done familiarizing myself with it but so far i
positive,Just love my new Fire HD 7.  It's so easy to use.
positive,I love my kindle fire. This is the first one i have ever owned and for a first time user I find it very easy to use. The only problem I 'm having is with Skype.
positive,Great tablet!!!
positive,GOOD PRODUCT
positive,Ok...
positive,I'm  really glad I purchased this note book.  I'm still in the learning process but I'm having fun.
positive,Love it!!!!  Met all my expectation and then some.  Beautiful screen and sound.  Fast internet
positive,Exceeded my expectations for performance and general ease of use.
positive,Thanks . Nice product.
positive,Just what I expected it to be. No disappointments here. Actually though it is faster than I expected and I would not hesitate to purchase another Fire.
positive,Very happy will be ordering g books soon
positive,Great device for the price!
positive,This brought me into the 21st century.  My first tablet ever but I got it for the Kindle. The only negative is when playing an audiobook the speakers are very 'tinny'.
positive,it's k
positive,Very useful and easy to navigate.
positive,Love it
positive,My daughter is very pleased with it.
positive,i like being able to read in the dark. i am very old and it is taking a while to learn to operate it but i like it.
positive,Great
positive,I love it!! Great tablet
positive,Absolutely love my kindle!!
positive,My third upgrade. Nice hd display more options.
positive,Very happy!!
positive,This fire came quickly and it is just what I expected . And a bit more I like the prime music and audio books (with adjustable speed of narration
negative,i have a kindle fire but its not good for school stuff. i try to do my online quizzes and practice guides and it wont let me open them. it dont support it. To me its like a huge phone.
positive,I finally updated from my second generation Kindle. I'm glad I did.
positive,Exactly what I wanted.
positive,I am still learning about it -- wish I had a comprehensive user's manual but so far I love it.
positive,Great got 16GBP.  No not use my laptop except for printing
positive,Bought this as a gift for my 9 year old. We set up parental controls and let her have at it. She loves it.
positive,I have been very pleased.
positive,I really like it.
positive,Working great!  Came out of the box ready to use. I've thoroughly enjoyed watching movies on it with my Amazon Prime account.
positive,Nice little device. Replaces my original nook. Got it for $99 and it is the 16gb model.
positive,This is my 2nd Fire HD purchase and we love them for our kids.
positive,it arrived on schedule and was easy to set up.
positive,I have the first generation kindle and this is far superior.  The screen and kindle free time are. Amazing
positive,I've had this item for about a week I was looking for light reading and Internet access. This was exactly what I was looking for. Only issue is that the battery didn't hold up to my expectati
positive,Great tablet!! In love with it!!
positive,I had no idea the Fire HD 7 could do so many things and do them so well.
positive,For the money ($79 special sale price) this is a phenomenal deal.  Responsive enough for the cost and the best parental controls of any tablet out there.
negative,Can't use yahoo messenger very cheaply made
positive,Love my new Kindle Fire!
positive,Love my fire!
positive,Love It!
positive,I love it!
positive,Thanks you amazon the table fire HD thank you you are the best place to buy stuff
positive,Really like the Kindle Fire!
positive,Very handy device; L's learning to like it!
positive,I really love it
positive,amazing  great for the sale price
positive,The HD 7 is great for reading books and magazines/newspapers. Of course the experience depends on the app. But overall I am satisfied.
positive,I Like it!!!
negative,So...so... I do not like the constant advertising...
positive,Love it!
positive,Love it!
negative,I purchased this new generation Fire HD as my current one will only hold a charge for about 3 hours with use.  I had thought this new one would solve the problem.  The problem is the same and
positive,Love it
negative,I found it to be only slightly better than the Kindle fire I have now. I was unimpressed with overall operation and design. After a few days of using it I decided it was not worth the seventy
positive,Nice just what I wanted and needed it work great .
positive,This is my fourth kindle fire and it is great.  The kindle was delivered as promised and is everything I expected. Fabulous!!!  Highly recommend.
positive,I love it
positive,I love it☺
positive,Very easy to navigate.  Met my expectations.  Will enjoy this one as much as my last Kindle Fire HD...which I gave to my granddaughter😆
positive,Fast shipping and wonderful Kindle. I love it.
positive,I love my Kindle Fire ! It's more than I expected!
positive,Good product.
positive,Love it!!
positive,It works great and it's a good price. Maybe a little less intuitive than some other tablets. Over all I'm happy with it.
positive,Enjoying my Kindle. This is the second one in our home but the first one for me. Love having one of my own.
positive,It would be better if you could read it outside.
positive,Great tablet for the price. Love the cameras and great speaker quality!
negative,I love the kindle but I never got the cover
positive,I enjoy this tablet very very much
positive,I love it!!
positive,The size is just right for small hands.Display is excellent. Performance  is great.very happy with this fire hd of mine
positive,Works very well downloads very nicely
positive,love the back lighted book reading screen.
negative,Worth the 79 dollars. Had trouble running some apps. Parental controls are good. Not as functional as older iPad ie iPad 2<br />Good for kids to play games and watch Netflix and read books. A
positive,EXCELLENT
positive,Tremendous Value.  Beautiful display & faster than my IPAD.
positive,Good for reading. Like the size. Don't like the web browser. Some apps are out of date...
positive,I did not receive a AC Power cord.  The only way that I can charge it is if it is connected to a USB Port off my computer.  Why isn't there an AC Power Cord to accompany the Kindle so it can 
positive,Bought as a second tablet. Display is very good. Very happy overall. Would give five stars except some apps are not yet available. Also like sound better then my HP7.
positive,Wow.  n do so much.  And I don't need the 16MB of memory.
positive,I had the Kindle fire and really like it except it doesn't hold a very good charge. I love all the new improvements on the Fire HD but I also noticed it still doesn't hold a very good charge.
positive,I like the graphics.it is very clear.
positive,Great internet pad for not a wholen lot of money. I got mine for $79 during a one day sale. The display is stunning and the speed is as fast as I need it to be. I was pleasantly surprised tha
positive,$79 special one day sale
positive,Got mine for $80!  Great price.... easy to use. So far I am quite happy!
positive,I like it but wish the page turning button;s of the original kindle were still there.  still learning how to use all the features and capabilities.
positive,Irritated by the forced use of the web browser but overall very pleased with the kindle fire.
negative,Not much information enclosed.
positive,Love it!
negative,Adding an account for children meant re-downloading all the apps I allowed them access to.
negative,It is frozen!! Only able to use it for a week. Sending it back!!
positive,I recommend Investment in extra memory
positive,Great little tablet! Has everything I need except I cant get some of the Xfinity Apps I would like to use.
positive,Very nice
positive,Not anything like my phone
positive,So far so good. The table is working well. my Daughter loves it with some of the Apps that i downloaded in ...<br />The camera hummm don't know what to say. Not so good i shall say...
positive,Nice unit. Still learning how to use it.
positive,Awesome
positive,Looked 4 months. Bought an Asus WiFi wouldn't work. Sent it back to Amazon recvd full refund. This tablet went on sale bought it been using it & working fine. Amazon has the books & game apps
positive,My 5 year old.daughter loves her new kindle fire & it was delivered sooner than it was supposed to..
positive,My first one. Excellent.
positive,I love it!
positive,Excellent!!!-great battery life
positive,I love it.....really enjoying it....
positive,I love it. It does everything that I expected and then some . I bought mine when it was on sale for $79 wow what a deal .
positive,Great value for a tablet
positive,Lots faster than my old one. I really like it.
positive,An early 18th birthday present from my mom. I love it! She figured since i'm always playing her kindle she'd get me one of my own. Tomorrow[May 2nd] is my birthday sooo happy early birthday t
positive,An excellent product I use every day!
positive,Still learning about all it can do.
positive,Exceeded expectations!
positive,Love it. Saw it as a daily deal for $60 off and bought it. It has a good selection of Apps and as a Wi-Fi connector I can access my online material. I am hard of hearing (wear hearing aids) a
positive,Fantastic overall. This is my second fire and I have very impressed so far.
positive,Very easy to use
positive,Love it!
positive,Great item :)
positive,Excellent screen & speed. The clarity is amazing.
positive,Sweet!
positive,Pleased with all
positive,It's great. Easy to use battery last for a long time.  I love it!
positive,Got one for my mom and she loves it aha she cant put it down...now im gonna get one!
positive,Love it..
positive,I like the rear facing camera which is why I ordered it.  however the print sixe does not go as large as the older version which is one of the things I liked about the older version.  the old
negative,Love love love it so bright
positive,Love it..the color ..the clarity and now with a camera its great...and then getting it on sale ...i just couldn't afford not to buy it
positive,Perfect for all my needs.
positive,Love it! I had an older one which I will give to a friend.
positive,love the new features
positive,This is my second Kindle.  The first one lasted three years.  I am soooo very happy to have my new Kindle Fire.
positive,I didn't purchase from this particular seller but I'm proud to be an owner of this product. It's amazing and very easy to use. It's a definite upgrade from my old tablet. Great product
positive,A fun toy.  I like reading on it; I didn't think I would.  I still have to decide whether I like it better when I want to mark a passage.  I wish there were more foreign language magazines av
positive,Love this little thing. Has quickly taken the place of my laptop. Great apps for kids and of course- books! :) Happy I got one!
positive,This is my fourth Kindle and I do love being able to use as a tablet and for reading. It is small enough to carry easily in my purse for appointments and travel. Thank you.
positive,Great love the way the movies look in HD
positive,Just received this the other day and I love it! I have a ton of e-books that I transferred over without a hitch. Super fast and great clarity!
positive,Great best display ever😀😀😀😀😀😀😀😀😀😀😀😀😀😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😂😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁🎻
positive,This is a great item that I am still learning on how to use.  I have Amazon Prime and this really comes in handy to enjoy all the stuff you get for free!
positive,I have enjoyed it so far.
positive,I was surprised at how good this tablet actually is. The display is crisp and very clear. The camera good as well lots of free apps and tech support resolved the one issue I had before I had 
positive,Awesome product.
negative,I was disappointed. I loved my kindle fire I received a couple years ago.  I enjoy reading and the ease of the carousel and the easy organization of my magazine and books.  I miss.  Plus know
positive,love it
positive,Awsome
